Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
grocery,org.iselab.grocery.repository,ProductRepository,1,0,6,6,45,13,0,0,0.3333333333333333,1,1
grocery,org.iselab.grocery.util,SystemUtils,1,1,6,6,36,7,0,0,0.6666666666666666,2,0
grocery,org.iselab.grocery.util,UUIDUtils,1,0,1,1,6,1,0,0,0.0,1,0
grocery,org.iselab.grocery.controller,ProductController,1,0,9,9,106,18,0,0,0.0,0,4
grocery,org.iselab.grocery.controller,Myclass,0,0,0,0,2,0,0,0,-1.0,0,0
grocery,org.iselab.grocery.controller,Shapes,0,0,1,1,20,5,0,0,-1.0,1,0
grocery,org.iselab.grocery,MainClass,0,0,3,3,29,5,0,0,-1.0,1,2
grocery,org.iselab.grocery.domain,Product,3,0,8,8,35,8,0,0,0.0,2,1
grocery,org.iselab.grocery.domain,Manager,0,0,0,0,2,0,0,2,-1.0,0,0
grocery,org.iselab.grocery.domain,Customer,0,0,0,0,2,0,0,1,-1.0,0,0
grocery,org.iselab.grocery.domain,Person,0,0,0,0,2,0,2,0,-1.0,0,0
grocery,org.iselab.grocery.domain,Employee,0,0,0,0,2,0,1,1,-1.0,0,0
